"id","idcode1","code1","idcode2","code2","result","dataset"
"case-01-ORIG_case-01-L1-04","case-01-ORIG","\npublic class T1 {\n	public static void main(String[] args) {\n		System.out.println(""Welcome to Java"");\n		System.out.println(""Welcome to Java"");\n		System.out.println(""Welcome to Java"");\n		System.out.println(""Welcome to Java"");\n		System.out.println(""Welcome to Java"");\n	}\n\n}\n","case-01-L1-04","\npublic class T1 {\n	public static void main(String[] args) {\n		System.out.println(""Welcome to Java"");\n		System.out.println(""Welcome to Java"");\n		System.out.println(""Welcome to Java"");\n		System.out.println(""Welcome to Java"");\n		System.out.println(""Welcome to Java"");\n	}\n\n}\n","1","IR-Plag"
"case-01-ORIG_case-01-L1-05","case-01-ORIG","\npublic class T1 {\n	public static void main(String[] args) {\n		System.out.println(""Welcome to Java"");\n		System.out.println(""Welcome to Java"");\n		System.out.println(""Welcome to Java"");\n		System.out.println(""Welcome to Java"");\n		System.out.println(""Welcome to Java"");\n	}\n\n}\n","case-01-L1-05","class HelloWorld\n{\n	public static void main(String[] args)\n	{\n		\n		// code to print ""Welcome to Java""\n		System.out.println(""Welcome to Java"");\n		\n		System.out.println(""Welcome to Java"");\n		System.out.println(""Welcome to Java"");\n		\n		System.out.println(""Welcome to Java"");\n		\n		System.out.println(""Welcome to Java"");\n		\n		//End of code\n		// 25779F8829AB7A7650E85A4CC871E6AC Ganteng\n		\n	}\n	\n}","1","IR-Plag"
"case-01-ORIG_case-01-L1-06","case-01-ORIG","\npublic class T1 {\n	public static void main(String[] args) {\n		System.out.println(""Welcome to Java"");\n		System.out.println(""Welcome to Java"");\n		System.out.println(""Welcome to Java"");\n		System.out.println(""Welcome to Java"");\n		System.out.println(""Welcome to Java"");\n	}\n\n}\n","case-01-L1-06","public class HelloWorld {\n    public static void main(String[] args) {\n        System.out.println(""Welcome to Java""); //ini buat ngeprint\n        System.out.println(""Welcome to Java""); //ini buat ngeprint lagi\n        System.out.println(""Welcome to Java""); //ini buat ngeprint lagi lagi\n        System.out.println(""Welcome to Java""); //ini buat ngeprint lagi lagi lagi\n        System.out.println(""Welcome to Java""); //ini buat ngeprint lagi lagi lagi lagi\n    }\n}\n","1","IR-Plag"
"case-01-ORIG_case-01-L1-07","case-01-ORIG","\npublic class T1 {\n	public static void main(String[] args) {\n		System.out.println(""Welcome to Java"");\n		System.out.println(""Welcome to Java"");\n		System.out.println(""Welcome to Java"");\n		System.out.println(""Welcome to Java"");\n		System.out.println(""Welcome to Java"");\n	}\n\n}\n","case-01-L1-07","/*\n * To change this license header, choose License Headers in Project Properties.\n * To change this template file, choose Tools | Templates\n * and open the template in the editor.\n */\n\n/**\n *\n * @author E3AFED0047B08059D0FADA10F400C1E5\n */\npublic class Main {\n    public static void main(String[] args) {\n            //mencetak welcome to java sebanyak 5 kali\n            System.out.println(""Welcome to Java"");\n            System.out.println(""Welcome to Java"");\n            System.out.println(""Welcome to Java"");\n            System.out.println(""Welcome to Java"");\n            System.out.println(""Welcome to Java"");\n    }\n}\n","1","IR-Plag"
"case-01-ORIG_case-01-L1-08","case-01-ORIG","\npublic class T1 {\n	public static void main(String[] args) {\n		System.out.println(""Welcome to Java"");\n		System.out.println(""Welcome to Java"");\n		System.out.println(""Welcome to Java"");\n		System.out.println(""Welcome to Java"");\n		System.out.println(""Welcome to Java"");\n	}\n\n}\n","case-01-L1-08","/*\n * To change this license header, choose License Headers in Project Properties.\n * To change this template file, choose Tools | Templates\n * and open the template in the editor.\n */\n\n/**\n *\n * @author B15130F5DDB6B5F1622EF91DAC4C1AAE\n */\npublic class Kasus1L1 {\n    /**\n     * @param args the command line arguments\n     */\n    public static void main(String[] args) {\n        //Print Welcome to java 5 kali\n        System.out.println(""Welcome to Java"");\n        System.out.println(""Welcome to Java"");\n        System.out.println(""Welcome to Java"");\n        System.out.println(""Welcome to Java"");\n        System.out.println(""Welcome to Java"");\n    }\n}\n","1","IR-Plag"
"case-01-ORIG_case-01-L1-09","case-01-ORIG","\npublic class T1 {\n	public static void main(String[] args) {\n		System.out.println(""Welcome to Java"");\n		System.out.println(""Welcome to Java"");\n		System.out.println(""Welcome to Java"");\n		System.out.println(""Welcome to Java"");\n		System.out.println(""Welcome to Java"");\n	}\n\n}\n","case-01-L1-09","/*\n * To change this license header, choose License Headers in Project Properties.\n * To change this template file, choose Tools | Templates\n * and open the template in the editor.\n */\n\n/**\n *\n * @author FD8DBE9073AFCC0504CD6901E1091CAD\n */\npublic class Level1 {\n\n    public static void main(String[] args)\n    {\n        //menampilkan sesuatu ke layar\n        System.out.println(""Welcome to Java"");\n        System.out.println(""Welcome to Java"");\n        System.out.println(""Welcome to Java"");\n        System.out.println(""Welcome to Java"");\n        System.out.println(""Welcome to Java"");\n    }\n}\n","1","IR-Plag"
"case-01-ORIG_case-01-L2-01","case-01-ORIG","\npublic class T1 {\n	public static void main(String[] args) {\n		System.out.println(""Welcome to Java"");\n		System.out.println(""Welcome to Java"");\n		System.out.println(""Welcome to Java"");\n		System.out.println(""Welcome to Java"");\n		System.out.println(""Welcome to Java"");\n	}\n\n}\n","case-01-L2-01","/*\n * To change this license header, choose License Headers in Project Properties.\n * To change this template file, choose Tools | Templates\n * and open the template in the editor.\n */\n\n\n/**\n *\n * @author 19984DCAEA13176BBB694F62BA6B5B35\n */\npublic class L2 {\n     public static void main(String[] args) {\n        System.out.println(""Welcome to Java"");\n        System.out.println(""Welcome to Java"");\n        System.out.println(""Welcome to Java"");\n        System.out.println(""Welcome to Java"");\n        System.out.println(""Welcome to Java"");\n    }\n}\n","1","IR-Plag"
"case-01-ORIG_case-01-L2-02","case-01-ORIG","\npublic class T1 {\n	public static void main(String[] args) {\n		System.out.println(""Welcome to Java"");\n		System.out.println(""Welcome to Java"");\n		System.out.println(""Welcome to Java"");\n		System.out.println(""Welcome to Java"");\n		System.out.println(""Welcome to Java"");\n	}\n\n}\n","case-01-L2-02","\n\n\n\n/*\n * To change this license header, choose License Headers in Project Properties.\n * To change this template file, choose Tools | Templates\n * and open the template in the editor.\n */\n\n/**\n *\n * @author 020A6EC1A4D0C5BDB29FF826A462DA1C5D88CF08B60A4744AFFD95C61A0C3C7E\n */\npublic class Main {\n    public static void main(String[] args) { \n            System.out.println(""Welcome to Java""); \n            System.out.println(""Welcome to Java""); \n            System.out.println(""Welcome to Java""); \n            System.out.println(""Welcome to Java""); \n            System.out.println(""Welcome to Java"");\n    }\n}\n","1","IR-Plag"
"case-01-ORIG_case-01-L2-03","case-01-ORIG","\npublic class T1 {\n	public static void main(String[] args) {\n		System.out.println(""Welcome to Java"");\n		System.out.println(""Welcome to Java"");\n		System.out.println(""Welcome to Java"");\n		System.out.println(""Welcome to Java"");\n		System.out.println(""Welcome to Java"");\n	}\n\n}\n","case-01-L2-03","/*\n * To change this license header, choose License Headers in Project Properties.\n * To change this template file, choose Tools | Templates\n * and open the template in the editor.\n */\n\n/**\n *\n * @author C166AB8FBBBE55174E16A67530426A8A 19011F43894F06E2BA0CA74061427469\n */\npublic class WelcomeToJava {\n    public static void main(String[] args) {\n		{\n            System.out.println(""Welcome To Java"");\n			System.out.println(""Welcome To Java"");\n			System.out.println(""Welcome To Java"");\n			System.out.println(""Welcome To Java"");\n			System.out.println(""Welcome To Java"");\n        }\n    }\n}\n","1","IR-Plag"
"case-01-ORIG_case-01-L2-04","case-01-ORIG","\npublic class T1 {\n	public static void main(String[] args) {\n		System.out.println(""Welcome to Java"");\n		System.out.println(""Welcome to Java"");\n		System.out.println(""Welcome to Java"");\n		System.out.println(""Welcome to Java"");\n		System.out.println(""Welcome to Java"");\n	}\n\n}\n","case-01-L2-04","public class hellow {\n    public static void main(String[] args) {\n        System.out.println(""Welcome to Java""); //ini buat ngeprint\n        System.out.println(""Welcome to Java""); //ini buat ngeprint lagi\n        System.out.println(""Welcome to Java""); //ini buat ngeprint lagi lagi\n        System.out.println(""Welcome to Java""); //ini buat ngeprint lagi lagi lagi\n        System.out.println(""Welcome to Java""); //ini buat ngeprint lagi lagi lagi lagi\n    }\n}\n","1","IR-Plag"
"case-01-ORIG_case-01-L2-05","case-01-ORIG","\npublic class T1 {\n	public static void main(String[] args) {\n		System.out.println(""Welcome to Java"");\n		System.out.println(""Welcome to Java"");\n		System.out.println(""Welcome to Java"");\n		System.out.println(""Welcome to Java"");\n		System.out.println(""Welcome to Java"");\n	}\n\n}\n","case-01-L2-05","/*\n * To change this license header, choose License Headers in Project Properties.\n * To change this template file, choose Tools | Templates\n * and open the template in the editor.\n */\n\n/**\n *\n * @author E3AFED0047B08059D0FADA10F400C1E5\n */\npublic class PrintJava {\n    public static void main(String[] args) {\n            //mencetak welcome to java sebanyak 5 kali\n            System.out.println(""Welcome to Java"");\n            System.out.println(""Welcome to Java"");\n            System.out.println(""Welcome to Java"");\n            System.out.println(""Welcome to Java"");\n            System.out.println(""Welcome to Java"");\n    }\n}\n","1","IR-Plag"
"case-01-ORIG_case-01-L3-01","case-01-ORIG","\npublic class T1 {\n	public static void main(String[] args) {\n		System.out.println(""Welcome to Java"");\n		System.out.println(""Welcome to Java"");\n		System.out.println(""Welcome to Java"");\n		System.out.println(""Welcome to Java"");\n		System.out.println(""Welcome to Java"");\n	}\n\n}\n","case-01-L3-01","\n\n\n\npublic class L3 {\n    public static void main(String[] args) {\n        System.out.println(""Welcome to Java"");\n        System.out.println(""Welcome to Java"");\n        System.out.println(""Welcome to Java"");\n        System.out.println(""Welcome to Java"");\n        System.out.println(""Welcome to Java"");\n    }\n}\n","1","IR-Plag"
"case-01-ORIG_case-01-L3-02","case-01-ORIG","\npublic class T1 {\n	public static void main(String[] args) {\n		System.out.println(""Welcome to Java"");\n		System.out.println(""Welcome to Java"");\n		System.out.println(""Welcome to Java"");\n		System.out.println(""Welcome to Java"");\n		System.out.println(""Welcome to Java"");\n	}\n\n}\n","case-01-L3-02","\n\n\n\n/*\n * To change this license header, choose License Headers in Project Properties.\n * To change this template file, choose Tools | Templates\n * and open the template in the editor.\n */\n\n/**\n *\n * @author 020A6EC1A4D0C5BDB29FF826A462DA1C5D88CF08B60A4744AFFD95C61A0C3C7E\n */\npublic class Main {\n    public static void main(String[] args) { \n            System.out.println(""Welcome to Java""); \n            System.out.println(""Welcome to Java""); \n            System.out.println(""Welcome to Java""); \n            System.out.println(""Welcome to Java""); \n            System.out.println(""Welcome to Java"");\n    }\n}\n","1","IR-Plag"
"case-01-ORIG_case-01-L3-03","case-01-ORIG","\npublic class T1 {\n	public static void main(String[] args) {\n		System.out.println(""Welcome to Java"");\n		System.out.println(""Welcome to Java"");\n		System.out.println(""Welcome to Java"");\n		System.out.println(""Welcome to Java"");\n		System.out.println(""Welcome to Java"");\n	}\n\n}\n","case-01-L3-03","class HelloWorld\n{\n	public static void main(String[] args)\n	{\n		System.out.println(""Welcome to Java"");\n		System.out.println(""Welcome to Java"");\n		System.out.println(""Welcome to Java"");\n		System.out.println(""Welcome to Java"");\n		System.out.println(""Welcome to Java"");\n		\n		//End of code\n		// 25779F8829AB7A7650E85A4CC871E6AC Ganteng\n		\n	}\n	\n}","1","IR-Plag"
"case-01-ORIG_case-01-L3-04","case-01-ORIG","\npublic class T1 {\n	public static void main(String[] args) {\n		System.out.println(""Welcome to Java"");\n		System.out.println(""Welcome to Java"");\n		System.out.println(""Welcome to Java"");\n		System.out.println(""Welcome to Java"");\n		System.out.println(""Welcome to Java"");\n	}\n\n}\n","case-01-L3-04","public class hellow {\n    public static void main(String[] args) {\n        System.out.println(""Welcome to Java""); //ini buat ngeprint\n        System.out.println(""Welcome to Java""); //ini buat ngeprint lagi\n        System.out.println(""Welcome to Java""); //ini buat ngeprint lagi lagi\n        System.out.println(""Welcome to Java""); //ini buat ngeprint lagi lagi lagi\n        System.out.println(""Welcome to Java""); //ini buat ngeprint lagi lagi lagi lagi\n    }\n}\n","1","IR-Plag"
"case-01-ORIG_case-01-L3-05","case-01-ORIG","\npublic class T1 {\n	public static void main(String[] args) {\n		System.out.println(""Welcome to Java"");\n		System.out.println(""Welcome to Java"");\n		System.out.println(""Welcome to Java"");\n		System.out.println(""Welcome to Java"");\n		System.out.println(""Welcome to Java"");\n	}\n\n}\n","case-01-L3-05","/*\n * To change this license header, choose License Headers in Project Properties.\n * To change this template file, choose Tools | Templates\n * and open the template in the editor.\n */\n\n/**\n *\n * @author B15130F5DDB6B5F1622EF91DAC4C1AAE\n */\npublic class Kasus1L3 {\n    /**\n     * @param args the command line arguments\n     */\n    public static void main(String[] args) {\n        //Print Welcome to java 5 kali\n		String teks = ""Welcome to Java"";\n        System.out.println(teks);\n        System.out.println(teks);\n        System.out.println(teks);\n        System.out.println(teks);\n        System.out.println(teks);\n    }\n    \n}\n","1","IR-Plag"
"case-01-ORIG_case-01-L3-06","case-01-ORIG","\npublic class T1 {\n	public static void main(String[] args) {\n		System.out.println(""Welcome to Java"");\n		System.out.println(""Welcome to Java"");\n		System.out.println(""Welcome to Java"");\n		System.out.println(""Welcome to Java"");\n		System.out.println(""Welcome to Java"");\n	}\n\n}\n","case-01-L3-06","/*\n * To change this license header, choose License Headers in Project Properties.\n * To change this template file, choose Tools | Templates\n * and open the template in the editor.\n */\n\n/**\n *\n * @author FD8DBE9073AFCC0504CD6901E1091CAD\n */\npublic class Level3 //class\n{\n    public static void main(String[] args) //main method\n    {\n        System.out.println(""Welcome to Java"");\n		System.out.println(""Welcome to Java"");\n		System.out.println(""Welcome to Java"");\n		System.out.println(""Welcome to Java"");\n		System.out.println(""Welcome to Java"");\n    }\n}\n","1","IR-Plag"
"case-01-ORIG_case-01-L4-01","case-01-ORIG","\npublic class T1 {\n	public static void main(String[] args) {\n		System.out.println(""Welcome to Java"");\n		System.out.println(""Welcome to Java"");\n		System.out.println(""Welcome to Java"");\n		System.out.println(""Welcome to Java"");\n		System.out.println(""Welcome to Java"");\n	}\n\n}\n","case-01-L4-01","\npublic class L4 {\n\n    public static void print() {\n        System.out.println(""Welcome to Java"");\n        System.out.println(""Welcome to Java"");\n        System.out.println(""Welcome to Java"");\n        System.out.println(""Welcome to Java"");\n        System.out.println(""Welcome to Java"");\n    }\n\n    public static void main(String[] args) {\n        \n        print();\n    }\n}\n","1","IR-Plag"
"case-01-ORIG_case-01-L4-02","case-01-ORIG","\npublic class T1 {\n	public static void main(String[] args) {\n		System.out.println(""Welcome to Java"");\n		System.out.println(""Welcome to Java"");\n		System.out.println(""Welcome to Java"");\n		System.out.println(""Welcome to Java"");\n		System.out.println(""Welcome to Java"");\n	}\n\n}\n","case-01-L4-02","\n\npublic class Main {\n    public static void printOut(){\n        System.out.println(""Welcome to Java"");\n    }\n\n    public static void main(String[] args) {\n        //print 5x ""Welcome To Java""\n        printOut();\n        printOut();\n        printOut();\n        printOut();\n        printOut();\n    }\n}\n\n\n\n","1","IR-Plag"
